time,hamiltonian,potential_energy,temperature,pressure
0.000e+00, -6.693e+02, -6.693e+02, 0.000e+00, 0.000e+00
2.000e-03, -6.693e+02, -6.693e+02, 2.541e-04, 0.000e+00
3.000e-03, -6.693e+02, -6.693e+02, 5.718e-04, 0.000e+00
4.000e-03, -6.693e+02, -6.693e+02, 1.017e-03, 0.000e+00
5.000e-03, -6.693e+02, -6.693e+02, 1.588e-03, 0.000e+00
6.000e-03, -6.693e+02, -6.693e+02, 2.287e-03, 0.000e+00
7.000e-03, -6.693e+02, -6.693e+02, 3.113e-03, 0.000e+00
8.000e-03, -6.693e+02, -6.693e+02, 4.065e-03, 0.000e+00
9.000e-03, -6.693e+02, -6.693e+02, 5.144e-03, 0.000e+00
1.000e-02, -6.693e+02, -6.693e+02, 6.351e-03, 0.000e+00
1.100e-02, -6.693e+02, -6.693e+02, 7.683e-03, 0.000e+00
1.200e-02, -6.693e+02, -6.693e+02, 9.143e-03, 0.000e+00
1.300e-02, -6.693e+02, -6.693e+02, 1.073e-02, 0.000e+00
1.400e-02, -6.693e+02, -6.693e+02, 1.244e-02, 0.000e+00
1.500e-02, -6.693e+02, -6.693e+02, 1.428e-02, 0.000e+00
1.600e-02, -6.693e+02, -6.693e+02, 1.624e-02, 0.000e+00
1.700e-02, -6.693e+02, -6.693e+02, 1.834e-02, 0.000e+00
1.800e-02, -6.693e+02, -6.693e+02, 2.055e-02, 0.000e+00
1.900e-02, -6.693e+02, -6.693e+02, 2.289e-02, 0.000e+00
2.000e-02, -6.693e+02, -6.693e+02, 2.536e-02, 0.000e+00
2.100e-02, -6.693e+02, -6.693e+02, 2.796e-02, 0.000e+00
2.200e-02, -6.693e+02, -6.693e+02, 3.068e-02, 0.000e+00
2.300e-02, -6.693e+02, -6.693e+02, 3.352e-02, 0.000e+00
2.400e-02, -6.693e+02, -6.694e+02, 3.649e-02, 0.000e+00
2.500e-02, -6.693e+02, -6.694e+02, 3.958e-02, 0.000e+00
2.600e-02, -6.693e+02, -6.694e+02, 4.280e-02, 0.000e+00
2.700e-02, -6.693e+02, -6.694e+02, 4.614e-02, 0.000e+00
2.800e-02, -6.693e+02, -6.694e+02, 4.961e-02, 0.000e+00
2.900e-02, -6.693e+02, -6.694e+02, 5.320e-02, 0.000e+00
